id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
108543,cd880acd-d717-4ee4-974f-4494de357ade,2012-05-05,2012-05-05,,Hawaii,3925,joelkabraham,Joel Abraham,2012-08-02 04:47:31 UTC,2017-06-19 19:37:04 UTC,research,,http://www.inaturalist.org/observations/108543,https://static.inaturalist.org/photos/155293/medium.jpg,,Los Padres National Forest,"",3,0,false,,"Ventura County, US-CA, US",34.4528487728,-119.3690817673,150,,,,28804,,obscured,true,,,,Ventura,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
308284,cbf598d2-d1c6-4157-b649-b8b480bafa11,"2013-05-14, 9:10 PM",2013-05-14,2013-05-15 04:10:00 UTC,Pacific Time (US & Canada),18222,sullivanribbit,John Sullivan,2013-06-22 16:33:23 UTC,2023-08-30 22:05:53 UTC,research,CC-BY,http://www.inaturalist.org/observations/308284,https://inaturalist-open-data.s3.amazonaws.com/photos/382416/medium.jpg,,"","",4,0,false,,Mike's Sky Rancho,31.111152,-115.63591,1411,,,,1411,,open,false,,,,Ensenada,Baja California,Mexico,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
346748,482e83f1-a0e6-4d1b-bedf-f092db7c0e2e,2004-04-18,2004-04-18,,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2013-07-26 22:31:31 UTC,2017-06-19 19:38:14 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/346748,https://inaturalist-open-data.s3.amazonaws.com/photos/431896/medium.jpg,,"","",1,0,false,,"California, US",33.3781582023,-116.8083416229,55,,,,10000,,obscured,true,,,,San Diego,California,United States,Bufo californicus,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
346783,69cb8798-ecd8-466d-96d8-e4924b4dd0fb,2006-05-16,2006-05-16,,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2013-07-26 22:56:29 UTC,2023-09-02 22:43:42 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/346783,https://inaturalist-open-data.s3.amazonaws.com/photos/431947/medium.jpg,,"","",2,0,false,,"California, US",33.2578687706,-116.9168029665,,,,,28984,,obscured,true,,,,San Diego,California,United States,Bufo californicus,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
528917,30da4886-1388-4a80-acb2-fde6126a87d3,2013-04-03 20:58:42,2013-04-03,2013-04-04 03:58:42 UTC,Pacific Time (US & Canada),12868,bhollingsworth,Bradford Hollingsworth,2014-02-12 20:51:17 UTC,2017-07-20 00:26:31 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/528917,https://inaturalist-open-data.s3.amazonaws.com/photos/672932/medium.jpg,,"","",3,0,false,,"Ensenada, Baja California, México",30.8917427262,-115.6627695229,,,,,,,open,false,,,,Ensenada,Baja California,Mexico,Anaxyrus californicus,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
675758,c375e31b-5f7f-4aae-bbb3-c2f87baeac79,Sat Apr 26 2014 01:15:39 GMT-0700 (PDT),2014-04-26,2014-04-26 08:15:39 UTC,Pacific Time (US & Canada),27498,chrispherp,Chris Patnaude,2014-05-13 17:53:39 UTC,2019-02-22 05:56:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/675758,https://inaturalist-open-data.s3.amazonaws.com/photos/851229/medium.jpg,,"",3rd one found on the same road in the rain. So cool to finally find a lifer and to find more than one.,3,0,false,3,"San Diego County, US-CA, US",33.0763660909,-116.9700618058,,,,,29012,,obscured,true,,,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
675765,88611b46-0873-4d20-b8ab-2bdc3f689694,Sat Apr 26 2014 01:04:23 GMT-0700 (PDT),2014-04-26,2014-04-26 08:04:23 UTC,Pacific Time (US & Canada),27498,chrispherp,Chris Patnaude,2014-05-13 17:56:17 UTC,2019-02-22 05:56:21 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/675765,https://inaturalist-open-data.s3.amazonaws.com/photos/851240/medium.jpg,,"",Finally after many times of cruising for Amphibs in the rain I finally got my lifer arroyo toad.,2,0,false,3,"San Diego County, Cleveland National Forest, US-CA, US",33.0887418412,-116.8609453597,,,,,29012,,obscured,true,,,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
675768,b0e1d4b5-257a-4ed0-a1f8-92485124a9cb,Sat Apr 26 2014 01:11:55 GMT-0700 (PDT),2014-04-26,2014-04-26 08:11:55 UTC,Pacific Time (US & Canada),27498,chrispherp,Chris Patnaude,2014-05-13 17:57:54 UTC,2019-02-22 05:56:20 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/675768,https://inaturalist-open-data.s3.amazonaws.com/photos/851245/medium.jpg,,"",2nd one found minutes after the first on same road.,2,0,false,3,"San Diego County, US-CA, US",33.0908208042,-116.8088267952,,,,,29012,,obscured,true,,,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
852522,2b66ba51-dc0a-401e-b97c-bccb08f15a59,2010-05-12,2010-05-12,,Pacific Time (US & Canada),50494,rdm24,Raphael D Mazor,2014-08-29 02:30:02 UTC,2019-02-22 03:33:07 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/852522,https://static.inaturalist.org/photos/1080094/medium.jpg,,"","",1,0,false,,"San Diego County, Cleveland National Forest, US-CA, US",33.0575904923,-116.9039385642,222,,,,29012,,obscured,true,,,,San Diego,California,United States,arroyo toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
1273692,294dad35-1ce3-433b-8a78-94ba3782b290,2015-02-27,2015-02-27,,Tijuana,23647,jorgehvaldez,Jorge H. Valdez,2015-03-06 00:05:07 UTC,2018-02-22 16:42:49 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/1273692,https://inaturalist-open-data.s3.amazonaws.com/photos/1597712/medium.JPG,,"","",2,0,false,,"Rancho Mike's Sky, Sierra San Pedro Martir",31.097414,-115.621963,,,,,,,open,false,,,,Ensenada,Baja California,Mexico,Anaxyrus californicus,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
