OBJECTID,year,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name
1,2004,33.3781582,-116.8083416,San Diego,California,United States,Anaxyrus californicus
2,2014,33.08874184,-116.8609454,San Diego,California,United States,Anaxyrus californicus
3,2010,32.6840451,-116.6164289,San Diego,California,United States,Anaxyrus californicus
4,2015,33.09803862,-116.844131,San Diego,California,United States,Anaxyrus californicus
5,2005,33.39499283,-116.9515346,San Diego,California,United States,Anaxyrus californicus
6,2013,33.19947732,-116.8397152,San Diego,California,United States,Anaxyrus californicus
7,2017,33.18772558,-116.8047346,San Diego,California,United States,Anaxyrus californicus
8,2017,32.86504696,-116.4546893,San Diego,California,United States,Anaxyrus californicus
9,2017,32.84655692,-116.5364716,San Diego,California,United States,Anaxyrus californicus
10,2017,33.48245822,-117.4392932,Orange,California,United States,Anaxyrus californicus
11,2017,32.7883916,-116.4130488,San Diego,California,United States,Anaxyrus californicus
12,2019,33.51130009,-117.4101714,Orange,California,United States,Anaxyrus californicus
13,2019,33.14747213,-116.8817922,San Diego,California,United States,Anaxyrus californicus
14,2019,32.80464457,-116.4490778,San Diego,California,United States,Anaxyrus californicus
15,2020,32.77735998,-116.5729518,San Diego,California,United States,Anaxyrus californicus
16,2020,32.87866136,-116.4187424,San Diego,California,United States,Anaxyrus californicus
17,2020,32.80238594,-116.6404372,San Diego,California,United States,Anaxyrus californicus
18,2020,32.7231255,-116.4918926,San Diego,California,United States,Anaxyrus californicus
19,2020,33.59867357,-117.4453745,Orange,California,United States,Anaxyrus californicus
20,2012,33.17130518,-116.8775031,San Diego,California,United States,Anaxyrus californicus
21,2012,33.19040595,-116.8496833,San Diego,California,United States,Anaxyrus californicus
22,2020,32.91011619,-116.4869735,San Diego,California,United States,Anaxyrus californicus
23,2022,33.52418311,-117.4394675,Orange,California,United States,Anaxyrus californicus
24,2022,33.56079134,-117.4121348,Orange,California,United States,Anaxyrus californicus
25,2023,33.41985697,-116.9564969,Riverside,California,United States,Anaxyrus californicus
26,2023,33.43502765,-116.9373217,Riverside,California,United States,Anaxyrus californicus
27,2023,33.41011709,-116.9232355,Riverside,California,United States,Anaxyrus californicus
28,2019,32.86687956,-116.7543213,San Diego,California,United States,Anaxyrus californicus
29,2010,33.12030201,-116.8762946,San Diego,California,United States,Anaxyrus californicus
30,2011,33.15858907,-116.8455066,San Diego,California,United States,Anaxyrus californicus
31,2014,33.08786076,-116.8711265,San Diego,California,United States,Anaxyrus californicus
32,2023,32.83730822,-116.437842,San Diego,California,United States,Anaxyrus californicus
33,2023,33.25454515,-116.8006273,San Diego,California,United States,Anaxyrus californicus
34,2023,32.82798312,-116.62559,San Diego,California,United States,Anaxyrus californicus
35,2023,33.34843773,-116.6127643,San Diego,California,United States,Anaxyrus californicus
36,2023,33.1578401,-116.8196977,San Diego,California,United States,Anaxyrus californicus
37,2023,33.59900469,-117.4230785,Orange,California,United States,Anaxyrus californicus
38,2024,32.71266499,-116.5874686,San Diego,California,United States,Anaxyrus californicus
39,2024,33.44019309,-116.9664757,Riverside,California,United States,Anaxyrus californicus
40,2024,33.43487412,-116.896048,Riverside,California,United States,Anaxyrus californicus
41,2024,33.40971888,-116.8724184,Riverside,California,United States,Anaxyrus californicus
42,2024,32.71093798,-116.6460308,San Diego,California,United States,Anaxyrus californicus
43,2024,33.48033358,-117.449772,Orange,California,United States,Anaxyrus californicus
44,2024,33.45877294,-116.9475655,Riverside,California,United States,Anaxyrus californicus
45,2024,33.15874719,-116.8514778,San Diego,California,United States,Anaxyrus californicus
46,2024,32.77557119,-116.5496034,San Diego,California,United States,Anaxyrus californicus
