year,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name
2012,34.4528487728,-119.3690817673,Ventura,California,United States,Anaxyrus californicus
2013,31.111152,-115.63591,Ensenada,Baja California,Mexico,Anaxyrus californicus
2004,33.3781582023,-116.8083416229,San Diego,California,United States,Anaxyrus californicus
2006,33.2578687706,-116.9168029665,San Diego,California,United States,Anaxyrus californicus
2013,30.8917427262,-115.6627695229,Ensenada,Baja California,Mexico,Anaxyrus californicus
2014,33.0763660909,-116.9700618058,San Diego,California,United States,Anaxyrus californicus
2014,33.0887418412,-116.8609453597,San Diego,California,United States,Anaxyrus californicus
2014,33.0908208042,-116.8088267952,San Diego,California,United States,Anaxyrus californicus
2010,33.0575904923,-116.9039385642,San Diego,California,United States,Anaxyrus californicus
2015,31.097414,-115.621963,Ensenada,Baja California,Mexico,Anaxyrus californicus
2015,30.86902,-115.7026283333,Ensenada,Baja California,Mexico,Anaxyrus californicus
2015,30.8695466667,-115.7021866667,Ensenada,Baja California,Mexico,Anaxyrus californicus
2015,30.869895,-115.6996,Ensenada,Baja California,Mexico,Anaxyrus californicus
2015,30.8698366667,-115.6995866667,Ensenada,Baja California,Mexico,Anaxyrus californicus
2015,30.86952,-115.7023166667,Ensenada,Baja California,Mexico,Anaxyrus californicus
2015,30.8713083333,-115.6949533333,Ensenada,Baja California,Mexico,Anaxyrus californicus
2015,30.8306366667,-115.73877,Ensenada,Baja California,Mexico,Anaxyrus californicus
2015,32.904815574,-116.5998922996,San Diego,California,United States,Anaxyrus californicus
2015,32.9120103718,-116.5916539117,San Diego,California,United States,Anaxyrus californicus
2010,32.6840451024,-116.6164289297,San Diego,California,United States,Anaxyrus californicus
2015,33.09803862,-116.8441310494,San Diego,California,United States,Anaxyrus californicus
2015,32.6037686869,-117.0525112002,San Diego,California,United States,Anaxyrus californicus
2016,34.5047320774,-118.6960015518,Ventura,California,United States,Anaxyrus californicus
2016,30.972164,-115.742189,Ensenada,Baja California,Mexico,Anaxyrus californicus
2016,30.97857,-115.74557,Ensenada,Baja California,Mexico,Anaxyrus californicus
2016,33.1273261787,-116.8990680627,San Diego,California,United States,Anaxyrus californicus
2010,32.0377298824,-116.764755249,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2016,30.7730168083,-115.3906087764,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2016,30.6934490978,-115.3274266608,Ensenada,Baja California,Mexico,Anaxyrus californicus
2005,33.3949928313,-116.9515346384,San Diego,California,United States,Anaxyrus californicus
2013,33.1994773205,-116.83971515020001,San Diego,California,United States,Anaxyrus californicus
2016,33.1321365135,-116.9375234693,San Diego,California,United States,Anaxyrus californicus
2017,33.0730139164,-116.8408179642,San Diego,California,United States,Anaxyrus californicus
2017,33.0775675404,-116.8047814315,San Diego,California,United States,Anaxyrus californicus
2017,33.0635516257,-116.9321143771,San Diego,California,United States,Anaxyrus californicus
2017,33.005304088,-116.8528886341,San Diego,California,United States,Anaxyrus californicus
2017,33.1877255816,-116.8047346427,San Diego,California,United States,Anaxyrus californicus
2017,33.1660974352,-116.8989571239,San Diego,California,United States,Anaxyrus californicus
2017,33.0920389889,-116.9066994508,San Diego,California,United States,Anaxyrus californicus
2017,30.9620456905,-115.7276083232,Ensenada,Baja California,Mexico,Anaxyrus californicus
2017,NA,NA,NA,NA,NA,Anaxyrus californicus
2017,30.9654316667,-115.7422,Ensenada,Baja California,Mexico,Anaxyrus californicus
